iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:ActOfInvestigation	act-genus	11			Act of Investigation	cco:ont00000366		An Act of Information Processing in which an Agent systematically examines and gathers evidence about a situation, framework, or cause in order to produce a Des
ex:ActOfMonitoring	act-genus	10			Act of Monitoring	cco:ont00000366		An Act of Information Processing in which an Agent repeatedly or continuously observes the state, progress, or performance of some process, system, or quantity 
ex:ActOfNegotiation	act-genus	10			Act of Negotiation	cco:ont00000228		A Planned Act in which two or more Agents confer and bargain over terms and conditions, exchanging proposals and concessions, in order to reach and record a mut
ex:ActOfOrganizationalEstablishment	act-genus	9			Act of Organizational Establishment	cco:ont00000228		A Planned Act in which an Agent constitutes and seats an Organization or organizational body (such as a board, committee, or unit), bringing the body into exist
ex:ActOfPayment	act-genus	12			Act of Payment	cco:ont00000836;cco:ont00000228		An Act of Financial Instrument Use in which an Agent (the payer) transfers money or a monetary instrument to another Agent (the payee) in settlement of an oblig
ex:ActOfProcessControl	act-genus	4			Act of Process Control	cco:ont00000228		A Planned Act in which an Agent, or an automation system acting for an Agent, regulates a running production process or plant by closing the loop between observ
ex:ActOfProduction	act-genus	4			Act of Production	cco:ont00000908;cco:ont00000228		An Act of Material Artifact Processing in which an Agent transforms raw materials and components into finished Material Artifacts according to a production spec
ex:ActOfRelationshipManagement	act-genus	12			Act of Relationship Management	cco:ont00000433;cco:ont00000228		An Act of Association in which an Agent builds, maintains, extends, or advances an ongoing relationship between an organization and one or more external parties
ex:ActOfRemuneration	act-genus	9			Act of Remuneration	cco:ont00000449;cco:ont00000228		An Act of Remuneration in which an Employer disburses a Financial Instrument (salary, wages, bonus, or other compensation) to an Employee for services performed
ex:ActOfReporting	act-genus	11			Act of Reporting	cco:ont00000379;cco:ont00000228		An Act of Representative Communication in which an Agent transfers to one or more recipients a Descriptive Information Content Entity (such as a report, stateme
ex:ActOfResolution	act-genus	6			Act of Resolution	cco:ont00000228		A Planned Act in which an Agent settles a raised case -- such as a customer inquiry, complaint, warranty claim, supplier-recovery matter, or product recall -- b
ex:ActOfScheduling	act-genus	4			Act of Scheduling	cco:ont00000511		An Act of Planning in which an Agent fixes the timing, sequencing, and resource allocation of future activities and produces a schedule (a Directive Information
ex:ActOfSelection	act-genus	10			Act of Selection	cco:ont00000366		An Act of Information Processing in which an Agent chooses one or more options from a set of candidates and produces a Directive Information Content Entity that
ex:ActOfSelling	act-genus	3			Act of Selling	cco:ont00000228		A Planned Act in which an Agent (the seller) transfers ownership of a good or the provision of a service to another Agent (the buyer) in exchange for a Financia
ex:ActOfServiceProvision	act-genus	5			Act of Service Provision	cco:ont00000228		A Planned Act in which an Agent renders a service to a customer by carrying out and completing the tasks that fulfil an agreed service need.
ex:ActOfTransportation	act-genus	4			Act of Transportation	cco:ont00000065;cco:ont00000228		An Act of Location Change in which an Agent moves materials or finished products from one supply-chain location to another, such as from a source to a warehouse
ex:ActOfVerification	act-genus	11			Act of Verification	cco:ont00000636		An Act of Appraisal in which an Agent subjects a product, service, solution, system, plan, control, or process to a test, audit, trial, or review against specif
ex:Accountant	agent	9			Accountant	cco:ont00001017		An Agent that has an accounting capability and bears an accountant role.
ex:Advisor	agent	12			Advisor	cco:ont00001017		An Agent that bears an advisor role in virtue of providing advice or counsel, whether internally or as a third party, to support an organization's relationships
ex:Auditor	agent	12			Auditor	cco:ont00001017		An Agent that bears an auditor role in virtue of conducting an examination of an organization's records, controls, or compliance.
ex:BPMGovernanceLeader	agent	13			BPM Governance Leader	cco:ont00001017		An Agent that bears the BPM Governance Leader Role within an organization's business-process-management governance.
ex:BankingPartner	agent	9			Banking Partner	cco:ont00001180		An Organization that bears a banking partner role and provides banking, financial-intermediary, or custodial services to a focal Organization.
ex:BoardOfDirectors	agent	12			Board of Directors	cco:ont00001180		An Organization that bears a board-of-directors role in virtue of representing stockholders and governing a company's major decisions.
ex:BusinessUnit	agent	1			Business Unit	cco:ont00001180		An Organization that bears a business unit role within a larger parent organization.
ex:Carrier	agent	4			Carrier	cco:ont00001180		An Organization that bears a carrier role, conveying products between supply-chain locations on behalf of another organization.
ex:CertificationAuthority	agent	7			Certification Authority	cco:ont00001180		An Organization that bears a certification-authority role in virtue of being empowered to issue and maintain certifications attesting to an agent's qualificatio
ex:ChangeChampion	agent	13			Change Champion	cco:ont00001017		An Agent that bears a change-champion role.
ex:ChangeManager	agent	13			Change Manager	cco:ont00001017		An Agent that bears a change-manager role, held accountable for ensuring an Organization's change is managed systematically.
ex:Community	agent	12			Community	cco:ont00001180		An Organization that bears a community role in virtue of constituting the population of the environment in which an organization operates and from which it draw
ex:CompetingOrganization	agent	3			Competing Organization	cco:ont00001180		An Organization that bears a competitor role in relation to some focal organization or market.
ex:CompetitiveIntelligenceAnalyst	agent	1			Competitive Intelligence Analyst	cco:ont00001017		An Agent that has a competitive analysis capability and bears a competitive-intelligence analyst role.
ex:Competitor	agent	1			Competitor	cco:ont00001180		An Organization that bears a competitor role in relation to some focal organization or market.
ex:ComplianceOfficer	agent	11			Compliance Officer	cco:ont00001017		An Agent that bears a compliance-officer role.
ex:CompliancePersonnel	agent	12			Compliance Personnel	cco:ont00001017		An Agent that bears a compliance-officer role in virtue of being tasked with validating and maintaining an organization's compliance position.
ex:ConstructionContractor	agent	10			Construction Contractor	cco:ont00001017		An Agent that bears a construction contractor role.
ex:ContractManufacturer	agent	4			Contract Manufacturer	cco:ont00001180		An Organization that bears a supplier role and manufactures products under contract on behalf of a procuring organization.
ex:Customer	agent	1			Customer	cco:ont00001017		An Agent that bears a customer role.
ex:CustomerServiceRepresentative	agent	6			Customer Service Representative	cco:ont00001017		An Agent that bears a customer-service-representative role and has a customer-service capability, by which it handles customer problems, requests, inquiries, an
ex:DataAnalyst	agent	13			Data Analyst	cco:ont00001017		An Agent that bears a data-analyst role.
ex:DeliveryPartner	agent	5			Delivery Partner	cco:ont00001017		An Agent that bears a delivery-partner role in virtue of collaborating with an organization to supplement its service-delivery skills and capabilities.
ex:DesignStaff	agent	2			Design Staff	cco:ont00001017		An Agent that has a design capability and bears a design staff role.
ex:Employee	agent	7			Employee	cco:ont00001017		An Agent that bears an employee role in virtue of being engaged by an organization to perform assigned activities in exchange for compensation.
ex:EnterpriseArchitect	agent	8			Enterprise Architect	cco:ont00001017		An Agent that bears an enterprise-architect role within an organization's IT function.
ex:ExecutiveManagement	agent	11			Executive Management	cco:ont00001017		An Agent that bears an executive-management role and is a recipient of enterprise risk and compliance reports.
ex:ExecutivePersonnel	agent	12			Executive Personnel	cco:ont00001017		An Agent that bears an executive role in virtue of holding senior managerial authority responsible for driving and overseeing organizational relationships and a
ex:ExternalITSupportProvider	agent	8			External IT Support Provider	cco:ont00001180		An Organization that bears an IT service provider role and is external to the focal organization, engaged to supply IT support or service-delivery resources und
ex:FacilityManagementPersonnel	agent	10			Facility Management Personnel	cco:ont00001017		An Agent that bears a facility manager role.
ex:FieldServiceAgent	agent	6			Field Service Agent	cco:ont00001017		An Agent that bears a field-service-agent role, by which it performs on-site investigation, repair, and evidence collection in support of warranty and service p
ex:FinanceFunction	agent	9			Finance Function	cco:ont00001180		An Organization that bears a finance-function role within a larger organization in virtue of being tasked with carrying out its financial management activities.
ex:FinancialAnalyst	agent	12			Financial Analyst	cco:ont00001017		An Agent that bears a financial-analyst role in virtue of evaluating the securities, performance, and prospects of an organization.
ex:FunctionalEmployee	agent	13			Functional Employee	cco:ont00001017		An Agent that bears a trainee role as a functional employee receiving an organization's training -- e.g. environmental, health, and safety training.
ex:GovernanceBody	agent	9			Governance Body	cco:ont00001180		An Organization constituted within or over a focal Organization to direct, oversee, or assure its activities, such as a board of directors or an audit committee
ex:GovernmentBody	agent	12			Government Body	cco:ont00001180		An Organization that bears a government-body role in virtue of exercising public authority at a local, regional, national, or supranational level.
ex:HiringManager	agent	7			Hiring Manager	cco:ont00001017		An Agent that bears a hiring-manager role in virtue of being responsible for deciding which candidate fills an open position.
ex:HumanResourcesFunction	agent	7			Human Resources Function	cco:ont00001180		An Organization that bears a human-resources-function role within a larger organization in virtue of being tasked with developing and managing the organization'
ex:HumanResourcesProfessional	agent	7			Human Resources Professional	cco:ont00001017		An Agent that bears a human-resources-professional role in virtue of performing human-capital management activities on behalf of an organization.
ex:ITCustomer	agent	8			IT Customer	cco:ont00001017		An Agent that bears an IT customer role in virtue of consuming or depending on the information-technology services and solutions provided by an organization's I
ex:ITRiskOwner	agent	8			IT Risk Owner	cco:ont00001017		An Agent that bears an IT risk owner role in virtue of being accountable for ensuring that a defined category of IT risk is managed appropriately.
ex:ITServiceProvider	agent	8			IT Service Provider	cco:ont00001180		An Organization that bears an IT service provider role in virtue of designing, delivering, and supporting information-technology services and solutions for its 
ex:ITUser	agent	8			IT User	cco:ont00001017		An Agent that bears an IT user role in virtue of holding an established identity by which it is authenticated and authorized to access an organization's applica
ex:JobCandidate	agent	7			Job Candidate	cco:ont00001017		An Agent that bears a job-candidate role in virtue of being considered by an organization to fill an open position.
ex:Journalist	agent	12			Journalist	cco:ont00001017		An Agent that bears a journalist role in virtue of gathering, reporting, and publishing news on behalf of a media outlet.
ex:LaborOrganization	agent	7			Labor Organization	cco:ont00001180		An Organization that bears a labor-organization role in virtue of representing a group of employees in collective bargaining and labor-management relations.
ex:Lender	agent	12			Lender	cco:ont00001180		An Organization that bears a lender role in virtue of extending loans or credit to a borrowing organization.
ex:MaintenancePersonnel	agent	10			Maintenance Personnel	cco:ont00001017		An Agent that bears a maintenance technician role.
ex:ManagementPersonnel	agent	4			Management Personnel	cco:ont00001017		An Agent that bears a manager role and exercises managerial authority within an organization.
ex:MarketingChannel	agent	3			Marketing Channel	cco:ont00001180		An Organization, such as a distributor, wholesaler, or retailer, through which an organization markets and distributes its offerings to customers.
ex:MarketingPersonnel	agent	3			Marketing Personnel	cco:ont00001017		An Agent that bears a marketing-professional role.
ex:MediaOutlet	agent	12			Media Outlet	cco:ont00001180		An Organization that bears a media-outlet role in virtue of producing and distributing news or content through channels such as the web, newspapers, or social m
ex:OutsideCounsel	agent	12			Outside Counsel	cco:ont00001017		An Agent that bears an outside-counsel role in virtue of being an external subject-matter expert engaged to provide legal or ethical assistance to an organizati
ex:PartnerOrganization	agent	1			Partner Organization	cco:ont00001180		An Organization that bears a partner role in relation to a focal organization.
ex:ProcessOwner	agent	13			Process Owner	cco:ont00001017		An Agent that bears a process-owner role.
ex:ProductManagementTeam	agent	6			Product Management Team	cco:ont00001017		An Agent that bears a product-manager role and to which customer feedback and improvement insights are routed for use in improving offerings.
ex:ProfessionalServicesProvider	agent	1			Professional Services Provider	cco:ont00001017		An Agent that bears a professional services provider role.
ex:ProgramManager	agent	13			Program Manager	cco:ont00001017		An Agent that bears a program-manager role.
ex:ProjectManager	agent	13			Project Manager	cco:ont00001017		An Agent that bears a project-manager role.
ex:ProspectiveCustomer	agent	3			Prospective Customer	cco:ont00001017		An Agent that bears a prospective-customer role as a potential target of sales and marketing.
ex:QuasiGovernmentBody	agent	12			Quasi-Government Body	cco:ont00001180		An Organization that bears a quasi-government-body role in virtue of operating under government supervision while remaining distinct and self-directed from the 
ex:RecruitmentVendor	agent	7			Recruitment Vendor	cco:ont00001180		An Organization that bears a recruitment-vendor role in virtue of supplying candidate-sourcing services to a focal organization under contract.
ex:RegulatoryAuthority	agent	10			Regulatory Authority	cco:ont00001180		An Organization that bears a regulatory authority role in relation to construction, maintenance, or hazardous-material activities.
ex:RelocatedPersonnel	agent	10			Relocated Personnel	cco:ont00001017		An Agent that is a staff member or employee of an organization moved from one location to another in the course of a relocation act.
ex:ResearchAndDevelopmentPersonnel	agent	2			Research and Development Personnel	cco:ont00001017		An Agent that has a research-and-development capability and bears a research-and-development role.
ex:RiskManager	agent	11			Risk Manager	cco:ont00001017		An Agent that bears a risk-manager role.
ex:SalesPartner	agent	3			Sales Partner	cco:ont00001180		An Organization that bears a sales-partner role, collaborating with a focal organization to market, sell, or distribute its offerings.
ex:SalesPersonnel	agent	3			Sales Personnel	cco:ont00001017		An Agent that bears a sales-professional role.
ex:SalesTeam	agent	6			Sales Team	cco:ont00001017		An Agent that bears a sales-agent role and to which qualified sales leads are delivered for follow-up.
ex:SeniorManagement	agent	1			Senior Management	cco:ont00001017		An Agent that bears a senior manager role.
ex:ServiceDeliveryPersonnel	agent	5			Service Delivery Personnel	cco:ont00001017		An Agent that bears a service-delivery personnel role in virtue of being assigned to perform the work of delivering a service to a customer.
ex:ServiceProvider	agent	5			Service Provider	cco:ont00001180		An Organization that has the capability to deliver services to customers.
ex:Shareholder	agent	12			Shareholder	cco:ont00001017		An Agent that bears a shareholder role in virtue of holding an equity interest in an organization.
ex:Stakeholder	agent	13			Stakeholder	cco:ont00001017		An Agent that bears a stakeholder role with respect to an Organization's initiative.
ex:StrategyPersonnel	agent	1			Strategy Personnel	cco:ont00001017		An Agent that bears a strategy personnel role.
ex:SubjectMatterExpert	agent	11			Subject Matter Expert	cco:ont00001017		An Agent that bears a subject-matter-expert role and is consulted to validate remediation plans.
ex:Subsidiary	agent	9			Subsidiary	cco:ont00001180		An Organization that bears a subsidiary role, being a separate legal entity controlled by a parent Organization.
ex:Supplier	agent	4			Supplier	cco:ont00001180		An Organization that bears a supplier role in relation to a procuring organization, providing materials or services.
ex:SupplyChainOrganization	agent	4			Supply Chain Organization	cco:ont00001180		An Organization that has a supply-chain management capability realized in supply-chain planning, procurement, production, and logistics acts.
ex:SupplyChainPartner	agent	2			Supply Chain Partner	cco:ont00001180		An Organization that bears a supply chain partner role in relation to a focal organization.
ex:ThirdPartyLogisticsProvider	agent	4			Third-Party Logistics Provider	cco:ont00001180		An Organization that bears a logistics service provider role, performing outsourced storage, shipping, or transportation activities on behalf of another organiz
ex:TradeOrIndustryGroup	agent	12			Trade or Industry Group	cco:ont00001180		An Organization that bears a trade-or-industry-group role in virtue of being established and financed by businesses operating in a specific industry.
ex:Treasurer	agent	9			Treasurer	cco:ont00001017		An Agent that bears a treasurer role and manages an Organization's cash, liquidity, debt, investments, and financial risk.
ex:WarrantyTeam	agent	6			Warranty Team	cco:ont00001017		An Agent that bears a warranty-administrator role, by which it receives, validates, investigates, and dispositions warranty claims on behalf of an organization.
ex:AccountingCapability	capability	9			Accounting Capability	cco:ont00001379	enables:ex:P10729,ex:P10730	An Agent Capability that inheres in an Agent in virtue of its capacity to record, classify, reconcile, and report financial transactions.
ex:AnalystRelationsManagementCapability	capability	12			Analyst Relations Management Capability	ex:StakeholderRelationshipManagementCapability	enables:ex:P11036	An Organization Capability that inheres in an Organization in virtue of its capacity to create and maintain long-term relationships with financial analysts so a
ex:AnalyticsCapability	capability	13			Analytics Capability	cco:ont00000568	enables:ex:P20960,ex:P20961,ex:P20962,ex:P20963,ex:P20964,ex:P21459,ex:P21460,ex:P21461,ex:P21462,ex:P21463,ex:P21464	An Organization Capability that inheres in an Organization in virtue of its capacity to develop, manage, and deliver analytics across its data-management pipeli
ex:ApplicantDataManagementCapability	capability	7	7.2.5.3		Applicant Data Management Capability	cco:ont00000568	enables:ex:P20124	An Organization Capability that inheres in an Organization in virtue of its capacity to keep track of and maintain applicant information through an applicant-tr
ex:ArchitectureCapability	capability	cap			Architecture capability	ex:Capability	enables:ex:AuthorArchitecture	An Agent Capability that enables its bearer to author a build's structural plan: its module boundaries, exported interfaces, and layering.
ex:AssetConstructionCapability	capability	10			Asset Construction Capability	cco:ont00000568	enables:ex:P19209,ex:P19224,ex:P19229,ex:P20139	An Organization Capability that is realized in acts of designing, planning, scheduling, and performing the construction of assets.
ex:AssetDispositionCapability	capability	10			Asset Disposition Capability	cco:ont00000568	enables:ex:P19258,ex:P21579,ex:P21581,ex:P21582	An Organization Capability that is realized in acts of managing the end-of-life disposition of assets, including decommissioning, dismantling, recycling, and ab
ex:AssetMaintenanceCapability	capability	10			Asset Maintenance Capability	cco:ont00000568	enables:ex:P19239,ex:P19245,ex:P19253	An Organization Capability that is realized in acts of planning, managing, and performing asset maintenance.
ex:BenchmarkingCapability	capability	13			Benchmarking Capability	cco:ont00000568	enables:ex:P21584	An Organization Capability that inheres in an Organization in virtue of its capacity to measure and benchmark the performance of its internal processes and of t
ex:BusinessModelGovernanceCapability	capability	1			Business Model Governance Capability	cco:ont00000568	enables:ex:P20955	An Organization Capability that inheres in an Organization in virtue of its capacity to maintain and govern its business models through intentional acts of revi
ex:BusinessProcessManagementCapability	capability	13			Business Process Management Capability	cco:ont00000568	enables:ex:P16379,ex:P16384,ex:P16387,ex:P16392,ex:P21453	An Organization Capability that inheres in an Organization in virtue of its capacity to govern, define, administer, and improve its business processes, realized
ex:BusinessResiliencyCapability	capability	11	11.4	11216	Business Resiliency Capability	cco:ont00000568	enables:ex:P11221,ex:P11222,ex:P11223,ex:P11224,ex:P16471	An Organization Capability that is realized in acts of developing resilience strategy, planning, testing, and maintaining continuous business operations, and sh
ex:Capability	capability	cap			FNSR Capability	cco:ont00001379		A competence borne by an agent in virtue of which it can successfully perform some kind of process. Realized in process executions; a feasibility filter for dis
ex:ChangeManagementCapability	capability	13			Change Management Capability	cco:ont00000568	enables:ex:P11135,ex:P11136,ex:P11137,ex:P21457	An Organization Capability that inheres in an Organization in virtue of its capacity to plan, design, implement, and sustain organizational change.
ex:ChannelManagementCapability	capability	3	3.2.4	20006	Channel Management Capability	cco:ont00000568	enables:ex:P16500,ex:P16501,ex:P16573,ex:P16574,ex:P16575	An Organization Capability that is realized in Acts of defining, analyzing, and managing marketing and distribution channels.
ex:CodeImplementationCapability	capability	cap			Code implementation capability	ex:Capability	enables:ex:ImplementPhase	An Agent Capability that enables its bearer to implement a planned module as a working code change set.
ex:CompensationAndBenefitsCapability	capability	7			Compensation and Benefits Capability	cco:ont00000568	enables:ex:P10495,ex:P10497,ex:P21438,ex:P21439	An Organization Capability that inheres in an organization in virtue of its capacity to reward, recognize, compensate, and retain its employees and to administe
ex:CompetitiveAnalysisCapability	capability	1			Competitive Analysis Capability	cco:ont00001379	enables:ex:P19945	An Agent Capability that is realized in Acts of Analyzing Competitors.
ex:ComplianceManagementCapability	capability	11			Compliance Management Capability	cco:ont00000568	enables:ex:P17468	An Organization Capability that is realized in acts of establishing compliance frameworks and policies and of managing enduring compliance with industry regulat
ex:ControlsTechnologyMaintenanceCapability	capability	11			Controls Technology Maintenance Capability	cco:ont00000568		An Organization Capability that inheres in an organization in virtue of its capacity to manage and maintain the technologies and tools that safeguard the confid
ex:CustomerComplaintManagementCapability	capability	6			Customer Complaint Management Capability	cco:ont00000568	enables:ex:P10397,ex:P10398,ex:P10399,ex:P10400,ex:P19072	An Organization Capability that inheres in an Organization in virtue of its capacity to receive, route, resolve, respond to, and analyze customer complaints.
ex:CustomerExperienceManagementCapability	capability	1			Customer Experience Management Capability	cco:ont00000568	enables:ex:P19959,ex:P19960,ex:P19964,ex:P19971	An Organization Capability that inheres in an Organization in virtue of its capacity to register, design, and improve the experience of its customers through in
ex:CustomerInquiryManagementCapability	capability	6			Customer Inquiry Management Capability	cco:ont00000568	enables:ex:P10394,ex:P10395,ex:P10396,ex:P13482,ex:P16928,ex:P16937	An Organization Capability that inheres in an Organization in virtue of its capacity to receive, analyze, resolve, and respond to customer problems, requests, a
ex:CustomerServiceCapability	capability	6			Customer Service Capability	cco:ont00001379	enables:ex:P10394,ex:P10395,ex:P10396,ex:P10397,ex:P10398,ex:P10399,ex:P10400,ex:P13482,ex:P16928,ex:P19072	An Agent Capability that is realized in acts of handling customer problems, requests, inquiries, and complaints.
ex:CustomerServiceManagementCapability	capability	6			Customer Service Management Capability	cco:ont00000568	enables:ex:P20595	An Organization Capability that is realized in the acts by which an organization plans, delivers, and evaluates customer service.
ex:CustomerServiceWorkforceManagementCapability	capability	6			Customer Service Workforce Management Capability	cco:ont00000568	enables:ex:P10390,ex:P10391,ex:P10392,ex:P10393	An Organization Capability that inheres in an Organization in virtue of its capacity to plan, schedule, track, and assure the quality of the workforce deployed 
ex:DefaultAccountManagementCapability	capability	9			Default Account Management Capability	cco:ont00000568	enables:ex:P14007	An Organization Capability that is realized in the recovery and collection acts by which an organization handles customer accounts that have not met their agree
ex:DemandForecastingCapability	capability	5			Demand Forecasting Capability	cco:ont00000568	enables:ex:P20041,ex:P20043,ex:P20045	An Organization Capability that is realized in the acts by which an organization forecasts and revises demand for its services.
ex:DesignCapability	capability	2			Design Capability	cco:ont00001379	enables:ex:P19995	An Agent Capability that is realized in Acts of Design of products, services, and processes.
ex:DevelopAndManageServicesSolutionsCapability	capability	8	8.5	20784	Develop and Manage Services/Solutions Capability	cco:ont00000568	enables:ex:P20785,ex:P20808,ex:P20817	An Organization Capability that inheres in an IT service provider in virtue of its capacity to develop, build, deploy, and maintain IT services and solutions.
ex:EHSManagementCapability	capability	13			EHS Management Capability	cco:ont00000568	enables:ex:P11180,ex:P11181,ex:P21587	An Organization Capability that inheres in an Organization in virtue of its capacity to determine, develop, monitor, and manage its environmental, health, and s
ex:EmployeeCareerDevelopmentCapability	capability	7	7.3.3		Employee Career Development Capability	cco:ont00000568	enables:ex:P10487,ex:P10488,ex:P17051	An Organization Capability that inheres in an Organization to the extent of its capacity to establish development guidelines, lay out career plans and paths, an
ex:EmployeeCommunicationCapability	capability	7			Employee Communication Capability	cco:ont00000568	enables:ex:P10529,ex:P10532,ex:P16944	An Organization Capability that inheres in an organization in virtue of its capacity to plan, deliver, and manage communication and engagement with and among it
ex:EmployeeDevelopmentCapability	capability	7			Employee Development Capability	cco:ont00000568	enables:ex:P10474,ex:P10479,ex:P10481,ex:P10487,ex:P10488,ex:P10490,ex:P10491,ex:P10492,ex:P10493,ex:P11243,ex:P16940,ex:P17050,ex:P17051,ex:P20125,ex:P21434,ex:P21436	An Organization Capability that inheres in an organization in virtue of its capacity to onboard, train, develop, and manage the performance of its employees.
ex:EmployeeOrientationAndDeploymentCapability	capability	7	7.3.1		Employee Orientation and Deployment Capability	cco:ont00000568	enables:ex:P10474,ex:P11243,ex:P17050	An Organization Capability that inheres in an Organization to the extent of its capacity to create, maintain, evaluate, and execute employee onboarding and orie
ex:EmployeePerformanceManagementCapability	capability	7	7.3.2		Employee Performance Management Capability	cco:ont00000568	enables:ex:P10479,ex:P10481,ex:P21434	An Organization Capability that inheres in an Organization to the extent of its capacity to define performance objectives, appraise employee performance, and ev
ex:EmployeeReferralProgramCapability	capability	7			Employee Referral Program Capability	cco:ont00000568	enables:ex:P10440	An Organization Capability that is realized in Acts of operating an employee-referral program in which employees are rewarded for referring qualified candidates
ex:EmployeeRelationsCapability	capability	7			Employee Relations Capability	cco:ont00000568	enables:ex:P10484,ex:P10531,ex:P21437	An Organization Capability that inheres in an organization in virtue of its capacity to develop, maintain, and improve relationships with and among employees, i
ex:EmployeeTrainingCapability	capability	7	7.3.4		Employee Training Capability	cco:ont00000568	enables:ex:P10490,ex:P10491,ex:P10492,ex:P10493,ex:P16940,ex:P20125,ex:P21436	An Organization Capability that inheres in an Organization to the extent of its capacity to align development needs, define competencies, and conduct and manage
ex:EmployerBrandingCapability	capability	7			Employer Branding Capability	cco:ont00000568		An Organization Capability that inheres in an organization's human resources function in virtue of its capacity to create, maintain, and communicate the organiz
ex:EnterpriseQualityManagementCapability	capability	13			Enterprise Quality Management Capability	cco:ont00000568	enables:ex:P17472,ex:P17482,ex:P17492,ex:P17498	An Organization Capability that inheres in an Organization in virtue of its capacity to establish quality requirements, evaluate performance against them, manag
ex:EnterpriseRiskManagementCapability	capability	11			Enterprise Risk Management Capability	cco:ont00000568	enables:ex:P16439,ex:P16445,ex:P17462	An Organization Capability that is realized in acts of establishing risk frameworks and policies and of overseeing, coordinating, and managing risk across an or
ex:EvaluationCapability	capability	cap			Evaluation capability	ex:Capability	enables:ex:EvaluateOutput	An Agent Capability that enables its bearer to evaluate an artifact against its acceptance criteria.
ex:FacilityManagementCapability	capability	10			Facility Management Capability	cco:ont00000568	enables:ex:P10965,ex:P10966	An Organization Capability that is realized in acts of planning, providing, operating, and maintaining facilities and workspaces.
ex:FinancialManagementCapability	capability	9			Financial Management Capability	cco:ont00000568	enables:ex:P10729,ex:P10730,ex:P10732,ex:P10733	An Organization Capability that inheres in an Organization in virtue of its capacity to plan, account for, control, and report on its financial resources.
ex:FinancialPolicyManagementCapability	capability	9			Financial Policy Management Capability	cco:ont00000568	enables:ex:P10816,ex:P10817,ex:P10818,ex:P20604	An Organization Capability that is realized in the acts of establishing, publishing, and enforcing an organization's accounting policies and procedures.
